1,1;3.5,26.7,64.5
1,2;3.5,26.7,59.5
1,3;3.5,26.7,54.5
1,4;3.5,26.7,49.5
1,5;3.5,26.7,44.5
2,5;8.5,26.7,44.5
2,7;8.5,26.7,36.5
2,8;8.5,26.7,28.5
2,9;8.5,26.7,23.5
2,10;8.5,26.7,18.5
2,11;8.5,26.7,13.5
2,12;8.5,26.7,8.5
3,12;12.053,26.7,8.878
4,12;17.053,26.7,8.878
5,12;22.053,26.7,8.878
6,12;27.053,26.7,8.878
7,12;32.053,26.7,8.878
8,12;37.053,26.7,8.878
11,12;42.053,26.7,8.878
11,11;43.508,26.7,15.725
11,10;44.548,26.7,20.616
11,9;45.587,26.7,25.506
11,8;46.627,26.7,30.397
11,7;47.751,26.7,35.269
11,6;48.876,26.7,40.141
11,5;50.001,26.7,45.013
11,4;51.126,26.7,49.884
11,3;52.250,26.7,54.756
11,2;53.375,26.7,59.628
11,1;54.5,26.7,64.5
10,1;48.5,26.7,64.5
9,1;43.5,26.7,64.5
8,1;38.5,26.7,64.5
7,1;33.5,26.7,64.5
6,1;28.5,26.7,64.5
5,1;23.5,26.7,64.5
4,1;18.5,26.7,64.5
3,1;13.5,26.7,64.5
2,1;8.5,26.7,64.5
