Tags,Device Name,IP Address,Device Family,Site,Reachability,Support Type,MAC Address,Platform,Serial Number,Uptime,Last Updated,Resync Interval,Manageability,Device Role,Device Series,Vendor,AP LED Flash Status,Advisories,Template Provision Status,Software Image,Template Conflict Status,Image Version,OS Update Status,Image Needs Update,Image Precheck Status,Image Compatibility,Provisioning Status,Credential Status,Last Provisioned,Associated WLC IP,AP CDP Neighbors,AP Group Name,Flex Group Name,AP Ethernet MAC Address,AP Location,AP Zone Name,RF Profile,Policy Tag,Site Tag,Application Telemetry,Replacement Serial Number,Replace Status,New Serial Number,New Platform,Refresh Status,Compliance,Integrity Verification,EoX Status,Certificate Status,Health Score
,NU-AP12323,10.2.19.158,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/12e Verdieping,Reachable,Supported,48:00:b3:5a:b3:80,CW9166I-E,KWC28280HPQ,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N12A38A1-D01.backbone.vu.nl(Port:GigabitEthernet5/0/39),NA,NA,c4:14:a2:b8:2c:10,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_12eVerdi_11503_2,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,Not Provisioned,10
,NU-AP12285,10.2.19.155,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/12e Verdieping,Reachable,Supported,50:5c:88:f1:cc:20,CW9166I-E,KWC283405J5,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N12A38A1-D01.backbone.vu.nl(Port:GigabitEthernet2/0/31),NA,NA,c4:14:a2:c7:3d:70,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_12eVerdi_11503_2,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,Not Provisioned,10
,NU-AP12284,10.2.19.159,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/12e Verdieping,Reachable,Supported,50:5c:88:f1:1e:20,CW9166I-E,KWC283404B7,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N12A38A1-D01.backbone.vu.nl(Port:GigabitEthernet2/0/2),NA,NA,c4:14:a2:c6:e6:70,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_12eVerdi_11503_2,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP12283,10.2.19.156,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/12e Verdieping,Reachable,Supported,48:00:b3:5a:74:00,CW9166I-E,KWC28280H8S,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N12A38A1-D01.backbone.vu.nl(Port:GigabitEthernet2/0/1),NA,NA,c4:14:a2:b8:0c:50,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_12eVerdi_11503_2,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP12282,10.2.19.194,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/12e Verdieping,Reachable,Supported,50:5c:88:f1:13:60,CW9166I-E,KWC2834048P,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N12A38A1-D01.backbone.vu.nl(Port:GigabitEthernet2/0/29),NA,NA,c4:14:a2:c6:e1:10,default location,APZ_NU_VUD_VU-ResearchDevice-net,RF-NU-Gebouw,PT_VU-ca_NU-Ge_12eVerdi_11503_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP12281,10.2.19.193,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/12e Verdieping,Reachable,Supported,48:00:b3:5a:77:20,CW9166I-E,KWC28280H9H,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N12A38A1-D01.backbone.vu.nl(Port:GigabitEthernet2/0/30),NA,NA,c4:14:a2:b8:0d:e0,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_12eVerdi_11503_2,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP12280,10.2.19.154,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/12e Verdieping,Reachable,Supported,50:5c:88:f1:17:a0,CW9166I-E,KWC2834049P,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N12A38A1-D01.backbone.vu.nl(Port:GigabitEthernet2/0/28),NA,NA,c4:14:a2:c6:e3:30,default location,APZ_NU_VUD_VU-ResearchDevice-net,RF-NU-Gebouw,PT_VU-ca_NU-Ge_12eVerdi_11503_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP12279,10.2.19.195,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/12e Verdieping,Reachable,Supported,48:00:b3:5a:8e:40,CW9166I-E,KWC28280HEY,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N12A38A1-D01.backbone.vu.nl(Port:GigabitEthernet2/0/32),NA,NA,c4:14:a2:b8:19:70,default location,APZ_NU_VUD_VU-ResearchDevice-net,RF-NU-Gebouw,PT_VU-ca_NU-Ge_12eVerdi_11503_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,Not Provisioned,10
,NU-AP12278,10.2.19.205,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/12e Verdieping,Reachable,Supported,48:00:b3:5a:99:60,CW9166I-E,KWC28280HHK,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N12A38A1-D01.backbone.vu.nl(Port:GigabitEthernet2/0/27),NA,NA,c4:14:a2:b8:1f:00,default location,APZ_NU_VUD_VU-ResearchDevice-net,RF-NU-Gebouw,PT_VU-ca_NU-Ge_12eVerdi_11503_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP12277,10.2.18.252,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/12e Verdieping,Reachable,Supported,48:00:b3:5a:7a:40,CW9166I-E,KWC28280HA8,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N12A38A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/45),NA,NA,c4:14:a2:b8:0f:70,default location,APZ_NU_VUD_VU-ResearchDevice-net,RF-NU-Gebouw,PT_VU-ca_NU-Ge_12eVerdi_11503_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
