Tags,Device Name,IP Address,Device Family,Site,Reachability,Support Type,MAC Address,Platform,Serial Number,Uptime,Last Updated,Resync Interval,Manageability,Device Role,Device Series,Vendor,AP LED Flash Status,Advisories,Template Provision Status,Software Image,Template Conflict Status,Image Version,OS Update Status,Image Needs Update,Image Precheck Status,Image Compatibility,Provisioning Status,Credential Status,Last Provisioned,Associated WLC IP,AP CDP Neighbors,AP Group Name,Flex Group Name,AP Ethernet MAC Address,AP Location,AP Zone Name,RF Profile,Policy Tag,Site Tag,Application Telemetry,Replacement Serial Number,Replace Status,New Serial Number,New Platform,Refresh Status,Compliance,Integrity Verification,EoX Status,Certificate Status,Health Score
,NU-AP09232,10.2.19.111,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/9e Verdieping,Reachable,Supported,48:00:b3:40:6a:00,CW9166I-E,KWC28280DMY,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N10A38A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/6),NA,NA,c4:14:a2:b7:07:50,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_9eVerdie_071d9_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,Not Provisioned,10
,NU-AP09231,10.2.19.14,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/9e Verdieping,Reachable,Supported,48:00:b3:5f:4c:20,CW9166I-E,KWC28280VL3,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N10A38A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/39),NA,NA,c4:14:a2:ba:68:a0,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_9eVerdie_071d9_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP09230,10.2.18.233,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/9e Verdieping,Reachable,Supported,48:00:b3:5f:4e:20,CW9166I-E,KWC28280VLK,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N10A38A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/3),NA,NA,c4:14:a2:ba:69:a0,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_9eVerdie_071d9_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP09229,10.2.19.10,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/9e Verdieping,Reachable,Supported,48:00:b3:40:8b:60,CW9166I-E,KWC28280DVT,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N10A38A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/1),NA,NA,c4:14:a2:b7:18:00,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_9eVerdie_071d9_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP09228,10.2.19.178,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/9e Verdieping,Reachable,Supported,48:00:b3:5f:56:60,CW9166I-E,KWC28280VNH,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N10A38A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/4),NA,NA,c4:14:a2:ba:6d:c0,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_9eVerdie_071d9_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP09227,10.2.19.118,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/9e Verdieping,Reachable,Supported,48:00:b3:5f:40:c0,CW9166I-E,KWC28280VHE,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N10A38A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/41),NA,NA,c4:14:a2:ba:62:f0,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_9eVerdie_071d9_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP09226,10.2.19.5,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/9e Verdieping,Reachable,Supported,48:00:b3:40:63:40,CW9166I-E,KWC28280DLC,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N10A38A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/42),NA,NA,c4:14:a2:b7:03:f0,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_9eVerdie_071d9_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP09225,10.2.19.112,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/9e Verdieping,Reachable,Supported,48:00:b3:5f:56:c0,CW9166I-E,KWC28280VNL,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N10A38A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/15),NA,NA,c4:14:a2:ba:6d:f0,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_9eVerdie_071d9_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP09224,10.2.19.30,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/9e Verdieping,Reachable,Supported,48:00:b3:5f:77:80,CW9166I-E,KWC28280VWA,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N10A38A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/2),NA,NA,c4:14:a2:ba:7e:50,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_9eVerdie_071d9_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP09223,10.2.19.117,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/9e Verdieping,Reachable,Supported,48:00:b3:5f:79:20,CW9166I-E,KWC28280VWP,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N10A38A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/43),NA,NA,c4:14:a2:ba:7f:20,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_9eVerdie_071d9_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP09222,10.2.19.3,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/9e Verdieping,Reachable,Supported,48:00:b3:5a:94:00,CW9166I-E,KWC28280HGA,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N10A38A1-D01.backbone.vu.nl(Port:GigabitEthernet5/0/1),NA,NA,c4:14:a2:b8:1c:50,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_9eVerdie_071d9_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP09221,10.2.19.138,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/9e Verdieping,Reachable,Supported,48:00:b3:5f:73:00,CW9166I-E,KWC28280VV8,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N10A38A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/23),NA,NA,c4:14:a2:ba:7c:10,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_9eVerdie_071d9_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP09220,10.2.19.137,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/9e Verdieping,Reachable,Supported,48:00:b3:5f:35:40,CW9166I-E,KWC28280VEQ,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N10A38A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/24),NA,NA,c4:14:a2:ba:5d:30,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_9eVerdie_071d9_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP09219,10.2.19.136,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/9e Verdieping,Reachable,Supported,48:00:b3:5f:4a:80,CW9166I-E,KWC28280VKQ,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N10A38A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/45),NA,NA,c4:14:a2:ba:67:d0,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_9eVerdie_071d9_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP09218,10.2.19.74,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/9e Verdieping,Reachable,Supported,48:00:b3:5f:7f:a0,CW9166I-E,KWC28280VY7,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N10A38A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/17),NA,NA,c4:14:a2:ba:82:60,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_9eVerdie_071d9_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP09217,10.2.19.22,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/9e Verdieping,Reachable,Supported,48:00:b3:5f:7f:c0,CW9166I-E,KWC28280VY8,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N10A38A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/13),NA,NA,c4:14:a2:ba:82:70,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_9eVerdie_071d9_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP09216,10.2.18.251,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/9e Verdieping,Reachable,Supported,48:00:b3:5f:4f:60,CW9166I-E,KWC28280VLV,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N10A38A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/32),NA,NA,c4:14:a2:ba:6a:40,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_9eVerdie_071d9_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP09215,10.2.19.140,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/9e Verdieping,Reachable,Supported,48:00:b3:5f:4d:a0,CW9166I-E,KWC28280VLF,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N10A38A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/38),NA,NA,c4:14:a2:ba:69:60,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_9eVerdie_071d9_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP09214,10.2.19.142,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/9e Verdieping,Reachable,Supported,48:00:b3:5f:7c:20,CW9166I-E,KWC28280VXD,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N10A38A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/47),NA,NA,c4:14:a2:ba:80:a0,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_9eVerdie_071d9_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,Not Provisioned,10
,NU-AP08308,10.2.19.87,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/8e Verdieping,Reachable,Supported,48:00:b3:5e:25:60,CW9166I-E,KWC28280TJR,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N09A38A1-D01.backbone.vu.nl(Port:GigabitEthernet5/0/13),NA,NA,c4:14:a2:b9:d5:40,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_8eVerdie_8dc12_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP08307,10.2.19.88,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/8e Verdieping,Reachable,Supported,48:00:b3:5e:4c:40,CW9166I-E,KWC28280TTW,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N09A38A1-D01.backbone.vu.nl(Port:GigabitEthernet5/0/41),NA,NA,c4:14:a2:b9:e8:b0,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_8eVerdie_8dc12_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP08306,10.2.19.107,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/8e Verdieping,Reachable,Supported,48:00:b3:5e:45:20,CW9166I-E,KWC28280TS7,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N09A38A1-D01.backbone.vu.nl(Port:GigabitEthernet5/0/14),NA,NA,c4:14:a2:b9:e5:20,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_8eVerdie_8dc12_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,Not Provisioned,10
,NU-AP08305,10.2.19.99,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/8e Verdieping,Reachable,Supported,48:00:b3:5e:66:40,CW9166I-E,KWC28280U00,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N09A38A1-D01.backbone.vu.nl(Port:GigabitEthernet5/0/12),NA,NA,c4:14:a2:b9:f5:b0,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_8eVerdie_8dc12_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP08304,10.2.19.105,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/8e Verdieping,Reachable,Supported,48:00:b3:5e:52:c0,CW9166I-E,KWC28280TVE,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N09A38A1-D01.backbone.vu.nl(Port:GigabitEthernet5/0/42),NA,NA,c4:14:a2:b9:eb:f0,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_8eVerdie_8dc12_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP08302,10.2.19.80,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/8e Verdieping,Reachable,Supported,48:00:b3:5e:35:a0,CW9166I-E,KWC28280TNK,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N09A38A1-D01.backbone.vu.nl(Port:GigabitEthernet5/0/16),NA,NA,c4:14:a2:b9:dd:60,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_8eVerdie_8dc12_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP08213,10.2.19.108,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/8e Verdieping,Reachable,Supported,48:00:b3:5e:56:20,CW9166I-E,KWC28280TW7,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N09A38A1-D01.backbone.vu.nl(Port:GigabitEthernet5/0/19),NA,NA,c4:14:a2:b9:ed:a0,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_8eVerdie_8dc12_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP08212,10.2.19.114,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/8e Verdieping,Reachable,Supported,48:00:b3:5e:3f:20,CW9166I-E,KWC28280TQT,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N09A38A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/3),NA,NA,c4:14:a2:b9:e2:20,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_8eVerdie_8dc12_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP08211,10.2.19.81,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/8e Verdieping,Reachable,Supported,48:00:b3:5e:67:60,CW9166I-E,KWC28280U09,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N09A38A1-D01.backbone.vu.nl(Port:GigabitEthernet5/0/48),NA,NA,c4:14:a2:b9:f6:40,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_8eVerdie_8dc12_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP08210,10.2.18.152,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/8e Verdieping,Reachable,Supported,48:00:b3:5e:69:40,CW9166I-E,KWC28280U0Q,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N09A38A1-D01.backbone.vu.nl(Port:GigabitEthernet2/0/1),NA,NA,c4:14:a2:b9:f7:30,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_8eVerdie_8dc12_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
