5:1,1;8.2,64.5
5:1,2;3.2,59.5
5:3,2;-
5:5,3;18.2,56.5
5:5,4;18.2,51.5
5:5,5;18.2,46.5
5:5,6;18.2,41.5
5:5,7;18.2,36.5
5:5,8;18.2,31.5
5:5,9;18.2,26.5
5:5,10;18.2,21.5
5:5,11;18.2,16.5
5:6,11;20.590,16.414
5:8,11;25.590,16.414
5:9,11;30.590,16.414
5:11,11;35.590,16.414
5:9,12;31.927,13.589
5:9,13;31.927,8.589
5:12,13;36.927,8.589
5:13,13;41.927,8.589
5:13,12;42.759,12.502
5:13,11;43.798,17.393
5:13,10;44.838,22.283
5:11,10;36.838,22.283
5:11,9;37.877,27.174
5:11,8;38.917,32.065
5:11,7;39.956,36.956
5:11,6;40.996,41.846
5:11,5;42.036,46.737
5:11,4;43.1178,51.619
5:11,3;44.2,56.5
5:11,2;45.36,59.86
5:11,1;45.36,64.86
5:12,1;50.36,64.86
5:13,1;54.0,64.86
5:13,2;52.875,59.988
5:13,3;51.750,55.116
5:13,4;-
5:13,5;-
5:10,3;38.2,56.5
5:9,3;33.2,56.5
5:8,3;28.2,56.5
5:7,3;23.2,56.5
5:5,1;18.2,64.5
5:4,1;-
5:2,1;13.2,64.5
